"JOBBees — Feature Estimation  ·  Edit ""Call"" column → totals update automatically",,,,,,
ID,Component,Section,Feature / Screen,Call,Hours,Architect Notes
AP-69,3. Admin Portal,3.5 Disputes,Override: AI dispute proposal stale >7d,IN,3,"[MDR §2.6] Blueprint §28. When AI mediator proposal goes unacknowledged >7d: (1) force-accept AI resolution, (2) escalate to human arbitration queue (AP-24/26). Admin records reason. POST — deferred with AI mediation complexity."
AP-70,3. Admin Portal,3.5 Disputes,Override: locked thread needs reopen for dispute,IN,2,[MDR §2.6] Blueprint §28. Message threads auto-lock after completion. Admin can unlock for dispute evidence collection. Unlock logged with reason; thread re-locks after dispute closes. POST — AP-26 manual arbitration handles this manually at launch.
AP-71,3. Admin Portal,3.1 User Management,Override: user locked out — manual ID verify + reset,IN,3,"[MDR §2.6] Blueprint §28. When account locked due to failed auth attempts or fraud flag: admin triggers manual ID verification step, then resets lock. Separate from suspend/ban (AP-04) — this is account recovery not punishment. POST — low volume; ops can use AP-04 flow as workaround at launch."
AP-72,3. Admin Portal,3.10 Master Data — AI-Augmented,Fraud graph visualization (Blueprint §14),POST,12,"[MDR §2.11] Graph UI showing entity relationships: users, devices, IPs, cards, bank accounts, addresses. Edges: signup-from, paid-with, shared-device, hired-by. Velocity anomaly overlay. Fraud case actions (suspend, escalate, review) from graph nodes. POST — auto-suspend (B-57) handles launch-volume fraud; graph viz needed at scale. Needs 3-6 months of signal data to be meaningful."
FW-01,4. Flutter Web,4.1 Layout & Navigation,Responsive layout engine,IN,12,Breakpoints: mobile/tablet/desktop. Affects ~20 key screens. Flutter LayoutBuilder handles most of this; effort is the breakpoint config + testing on key screens.
FW-02,4. Flutter Web,4.1 Layout & Navigation,Desktop navigation (top nav / sidebar),IN,8,Replace mobile bottom nav with persistent sidebar/topbar at ≥900px. NavigationRail widget handles the sidebar; FW-01 breakpoints already established.
FW-03,4. Flutter Web,4.1 Layout & Navigation,URL-based routing (web navigation),IN,8,Map Flutter routes to URL paths. go_router handles URL sync cleanly. Enables browser back/forward + bookmarking.
FW-04,4. Flutter Web,4.1 Layout & Navigation,Browser back/forward navigation guard,IN,3,Intercept browser back during checkout or form fill. Show 'Leave page?' confirmation.
FW-05,4. Flutter Web,4.1 Layout & Navigation,Browser tab title + favicon updates,IN,1,Dynamic document.title per route. Favicon + apple-touch-icon set.
FW-06,4. Flutter Web,4.2 Browser API Adaptations,Browser push notifications (Web Push),IN,6,"Web Push API via service worker. VAPID key pair, browser permission prompt."
FW-07,4. Flutter Web,4.2 Browser API Adaptations,Browser geolocation API,IN,3,navigator.geolocation for GPS check-in. Requires HTTPS.
FW-08,4. Flutter Web,4.2 Browser API Adaptations,Browser camera & file upload,IN,4,getUserMedia for camera; HTML file input for gallery/doc upload.
FW-09,4. Flutter Web,4.2 Browser API Adaptations,Browser OAuth redirect flow,IN,4,Google/Apple sign-in uses redirect_uri on web. Separate OAuth client config.
FW-10,4. Flutter Web,4.2 Browser API Adaptations,Stripe.js web payment integration,IN,5,flutter_stripe SDK injects Stripe.js on web. Test all three payment modes.
FW-11,4. Flutter Web,4.2 Browser API Adaptations,Socket.IO web client validation,IN,2,"Validate real-time chat, bid notifications, job status updates work in browser."
FW-12,4. Flutter Web,4.2 Browser API Adaptations,Web Share API,THIN,2,navigator.share(). Fallback to clipboard copy on desktop.
FW-13,4. Flutter Web,4.3 Compliance & Accessibility,Cookie consent banner,IN,3,Required for Australian Privacy Act + Stripe / GA4 tracking cookies.
FW-14,4. Flutter Web,4.3 Compliance & Accessibility,Keyboard navigation & accessibility (WCAG 2.1 AA),IN,6,"Tab order, focus indicators, ARIA labels. Screen reader testing required."
FW-15,4. Flutter Web,4.4 Build & Performance,PWA manifest + service worker + install prompt,IN,5,Enables 'Add to Home Screen'. Flutter generates manifest.json; service worker caches app shell. Standard template — minimal custom logic.
FW-16,4. Flutter Web,4.4 Build & Performance,Flutter web build pipeline + CDN hosting,IN,5,flutter build web --release with CanvasKit. Azure Static Web Apps or Vercel. GitHub Actions step + CDN config — not complex code.
FW-17,4. Flutter Web,4.4 Build & Performance,Cross-browser testing matrix,IN,4,"Chrome, Firefox, Safari (WebKit), Edge. Flutter web has known Safari quirks."
FW-18,4. Flutter Web,4.4 Build & Performance,SEO meta tag injection (authenticated pages),THIN,3,Inject basic og:title / og:description in index.html per route for shareable pages.
SEO-01,5. Next.js SEO,5.1 Foundation,Next.js project setup + App Router + hosting,IN,6,Next.js 14 App Router. TypeScript. Tailwind CSS. Vercel hosting with ISR support.
SEO-02,5. Next.js SEO,5.1 Foundation,URL strategy + Flutter web handoff,IN,4,Critical architectural decision. Shared cookie auth so logged-in users flow between apps.
SEO-03,5. Next.js SEO,5.2 Core Pages,Homepage,IN,10,"Hero, how-it-works, category grid, testimonials, app store CTA. SSR for personalisation."
SEO-04,5. Next.js SEO,5.2 Core Pages,Category landing pages (dynamic SSG),IN,12,/hire-a-[category]. ISR revalidation on category update webhook.
SEO-05,5. Next.js SEO,5.2 Core Pages,Location × Category pages (programmatic SEO),IN,16,"/hire-a-[category]-[suburb]. Could be 5,000–20,000 pages. 24h ISR. Same template as SEO-04 — scale doesn't add dev hours; effort is DB query + ISR config."
SEO-06,5. Next.js SEO,5.2 Core Pages,Tasker public profile page,IN,8,/taskers/[slug]. JSON-LD Person + Review schema for rich snippets. Schema template reused from SEO-14; page data from existing tasker profile API.
SEO-07,5. Next.js SEO,5.2 Core Pages,How it works page,IN,2,Poster + tasker journey explained. Static page.
SEO-08,5. Next.js SEO,5.2 Core Pages,Pricing / fees page,IN,2,Platform fee % breakdown. Config-driven so fee changes don't need code deploy.
SEO-09,5. Next.js SEO,5.2 Core Pages,Safety & verification page,IN,2,"Trust tier explainer. WWCC, PCC badges explained."
SEO-10,5. Next.js SEO,5.2 Core Pages,Help centre (SSG from Markdown/CMS),THIN,8,Markdown-based help articles. AP-37 admin CMS feeds this via API. SSG with ISR; same pipeline as other static pages.
SEO-11,5. Next.js SEO,5.2 Core Pages,Blog / content hub,POST,24,Post-launch. Requires content production investment.
SEO-12,5. Next.js SEO,5.2 Core Pages,App download / smart banner page,IN,2,Smart App Banner meta tag + branch.io SDK. Static page; meta tag injected in layout.tsx.
SEO-13,5. Next.js SEO,5.2 Core Pages,About + legal pages,IN,2,"About, ToS, Privacy Policy, Cookie Policy. Legal review required."
SEO-14,5. Next.js SEO,5.3 SEO Technical,Structured data (JSON-LD),IN,6,"LocalBusiness, Service, Person + Review, FAQPage schemas. JSON-LD is templated per page type; schema.org definitions are reusable across SEO pages."
SEO-15,5. Next.js SEO,5.3 SEO Technical,Open Graph + Twitter card meta,IN,2,Dynamic og:title / og:description / og:image per page.
SEO-16,5. Next.js SEO,5.3 SEO Technical,"Sitemap.xml (dynamic, ISR)",IN,2,Auto-generated covering all pages. Split into sitemap index for >50k URLs.
SEO-17,5. Next.js SEO,5.3 SEO Technical,robots.txt + canonical URL management,IN,1,Disallow /app/*. Canonical tags on all programmatic pages.
SEO-18,5. Next.js SEO,5.3 SEO Technical,Core Web Vitals optimisation,IN,6,"LCP <2.5s, CLS <0.1, FID/INP <100ms. Lighthouse CI in build pipeline."
SEO-19,5. Next.js SEO,5.3 SEO Technical,Analytics integration (GA4 + Meta Pixel),IN,4,Gated behind cookie consent. Server-side events via Conversions API.
SEO-20,5. Next.js SEO,5.3 SEO Technical,A/B testing infrastructure,POST,8,Post-launch. Vercel Edge Config or GrowthBook. Needs baseline traffic first.
AI-01,6. AI Infrastructure,6.1 LLM Routing & Observability,Multi-provider LLM router,IN,8,Abstraction over Gemini Flash / Claude Haiku / Claude Sonnet / GPT-4o. Single interface.
AI-02,6. AI Infrastructure,6.1 LLM Routing & Observability,LLM observability (Langfuse / Helicone),IN,4,"Prompt versioning, latency, token cost, error rates. Ship before any AI feature goes live. SDK integration + dashboard config; heavy on setup not code."
AI-03,6. AI Infrastructure,6.1 LLM Routing & Observability,Prompt versioning + A/B eval harness,IN,8,Prompts as versioned artefacts in DB. Golden dataset eval script. Precision/recall tracked per version via Langfuse (AI-02 built). Effort is golden dataset curation + eval runner.
AI-04,6. AI Infrastructure,6.1 LLM Routing & Observability,Output validators + guardrails,IN,6,JSON schema validation on all structured LLM outputs. Zod validators shared across endpoints. Base validator is reusable — effort is per-endpoint schema definition.
AI-05,6. AI Infrastructure,6.2 ML Models & Feature Store,Feature store (matching + pricing ML),THIN,8,Postgres-backed feature table. Pre-computed features per tasker. Nightly refresh.
AI-06,6. AI Infrastructure,6.2 ML Models & Feature Store,Budget regression model,POST,12,Post-launch. Needs ~500 completed tasks before model is meaningful.
AI-07,6. AI Infrastructure,6.2 ML Models & Feature Store,Auto-SEO content generation per task,IN,4,"LLM generates SEO-friendly slug, meta description, FAQ block from task description."
AI-08,6. AI Infrastructure,6.2 ML Models & Feature Store,Bid coaching assistant (tasker),POST,6,"Post-launch. LLM suggests win-rate improvements. Build after 1,000+ bids. Feature flag to activate."
AI-09,6. AI Infrastructure,6.3 Predictive Operations,Demand forecasting (suburb × category × week),POST,24,Post-launch. Needs 6+ months of data.
AI-10,6. AI Infrastructure,6.3 Predictive Operations,Tasker churn prediction + re-engagement,POST,16,Post-launch. Needs 3–4 months of activity data.
AI-11,6. AI Infrastructure,6.3 Predictive Operations,LTV scoring at signup,POST,10,Post-launch. Needs real LTV data from completed cohorts.
AI-12,6. AI Infrastructure,6.1 LLM Routing & Observability,AI cost quota enforcement,IN,4,"[MDR §3.5] Per-user daily quota (e.g., 20 AI extractions/day) enforced via Redis counters. Org-wide daily budget cap with alert thresholds at 70 / 85 / 95% spend. PagerDuty alert fires at 95% — prevents runaway AI bill. LLM router (AI-01) already routes to cheapest model per task class; this adds the quota gate and alerting layer. SRS NFR-COST compliance. (make it minimal like keep a count in tabe)"
AI-13,6. AI Infrastructure,6.2 ML Models & Feature Store,Image content safety (Azure Content Safety),DROP,0,"Already covered in B - 44, if we need to monitor profile image and all we can consider else we dont need this."
DEV-01,7. DevOps,7.1 CI/CD & Environments,CI/CD pipeline (GitHub Actions → Azure),IN,8,On PR: lint + tests. On merge: Docker → ACR → staging. On tag: prod. Fastlane for mobile.
DEV-02,7. DevOps,7.1 CI/CD & Environments,Environment promotion strategy (dev → staging → prod),IN,4,Three tiers. DB migrations in staging first. Secrets per environment via Key Vault. This is runbook + pipeline YAML config — DEV-01 CI/CD already handles most of the mechanics.
DEV-03,7. DevOps,7.1 CI/CD & Environments,Database migration strategy,IN,4,Flyway or Prisma Migrate. Expand-contract pattern. Zero-downtime migrations.
DEV-04,7. DevOps,7.1 CI/CD & Environments,Secret management (Azure Key Vault),IN,3,All secrets in Azure Key Vault. Injected via managed identity. Standard Azure config — audit log is automatic with Key Vault.
DEV-05,7. DevOps,7.2 Reliability & Observability,Load testing suite (k6 / Artillery),POST,5,Post-launch. Run before major releases once real traffic baselines are established.
DEV-06,7. DevOps,7.2 Reliability & Observability,Backup + disaster recovery (RTO/RPO),IN,6,RTO: 1h. RPO: 15min. Postgres WAL archiving + daily snapshots. DR runbook tested quarterly.
DEV-07,7. DevOps,7.2 Reliability & Observability,SLA monitoring + alerting (99.9% target),IN,4,Azure Monitor + Application Insights. PagerDuty on-call. 99.9% = 8.7h downtime/year.
DEV-08,7. DevOps,7.2 Reliability & Observability,Log aggregation + structured logging + PII redaction,IN,4,"Structured JSON logging across all services. PII redaction (email, phone, TFN) before log storage — Privacy Act compliance requirement, cannot ship to prod without this. Log aggregation pipeline. 90d hot / 1yr cold retention. Moved from POST: PII log redaction is a launch blocker per Privacy Act obligations."
DEV-09,7. DevOps,7.1 CI/CD & Environments,Infrastructure as Code (Terraform — Azure resources),IN,14,"[MDR §4.1] Terraform modules for all Azure resources: PostgreSQL Flexible Server, Redis Cache, Blob Storage (with lifecycle policies), App Service Plan + slots, Static Web Apps, Container Registry, Key Vault, Application Insights, Virtual Network + subnets. Environment promotion via Terraform workspaces (dev/staging/prod). State stored in Azure Blob backend with locking. Enables full environment rebuild from scratch for DR."
DEV-10,7. DevOps,7.1 CI/CD & Environments,Network edge (Azure Front Door + WAF + API Management),IN,10,"[MDR §4.2] Azure Front Door: global load balancing, SSL termination, CDN for static assets, health probes. WAF policy: OWASP Core Rule Set 3.2, custom rules for AU-only traffic patterns. Azure API Management: rate limiting, API versioning, request logging, subscription keys for future third-party integrations. Required for Privacy Act compliance and Stripe marketplace security expectations."
DEV-11,7. DevOps,7.1 CI/CD & Environments,Compute topology (BullMQ worker pool + scaling + sticky sessions),IN,6,[MDR §4.3] Separate Azure App Service for BullMQ workers (job processing isolated from API traffic — prevents queue saturation starving API responses). Horizontal scaling rules for both API and worker plans (CPU/memory thresholds). Azure Application Gateway sticky sessions for Socket.IO (required for real-time messaging across multi-instance deployments). All configured via DEV-09 Terraform modules.
DEV-12,7. DevOps,7.2 Reliability & Observability,Sentry error tracking + PII scrubbing,IN,3,"[MDR §4.5] Sentry SDK integrated into Flutter mobile, React admin, and Node.js backend. PII scrubbing rules configured (email, phone, name, TFN redacted from error payloads before transmission to Sentry) — required for Privacy Act compliance. Source maps uploaded for readable stack traces. Alert routing: critical errors → PagerDuty, warnings → Slack."
DEV-13,7. DevOps,7.1 CI/CD & Environments,Customer-managed keys (CMK) for sensitive document storage,IN,2,"[MDR §4.4] Azure Blob Storage containers holding KYC documents (ID scans, selfies), TFN records, and PCC/WWCC uploads configured with customer-managed encryption keys via Azure Key Vault. CMK rotation policy (annual). Separate from standard Key Vault secret management (DEV-04). Privacy Act + ATO requirement for highest-sensitivity data classes."
FSE-01,8. FSE Module,8.1 FSE App,FSE Flutter app flavor (separate build),POST,20,Post-launch. FSE module excluded from MVP scope.
FSE-02,8. FSE Module,8.1 FSE App,Lead management (CRM-lite),POST,16,Post-launch. FSE module excluded from MVP scope.
FSE-03,8. FSE Module,8.1 FSE App,Territory management,POST,8,Post-launch. FSE module excluded from MVP scope.
FSE-04,8. FSE Module,8.1 FSE App,GPS-stamped visit tracking,POST,6,Post-launch. FSE module excluded from MVP scope.
FSE-05,8. FSE Module,8.2 In-Person Registration Flow,In-person registration form (step 1 of 3),POST,8,Post-launch. FSE module excluded from MVP scope.
FSE-06,8. FSE Module,8.2 In-Person Registration Flow,Camera-only document capture (step 2 of 3),POST,12,Post-launch. FSE module excluded from MVP scope.
FSE-07,8. FSE Module,8.2 In-Person Registration Flow,Banking info capture → Stripe Connect (step 3 of 3),POST,6,Post-launch. FSE module excluded from MVP scope.
FSE-08,8. FSE Module,8.2 In-Person Registration Flow,Digital signature with GPS + timestamp,POST,4,Post-launch. FSE module excluded from MVP scope.
FSE-09,8. FSE Module,8.2 In-Person Registration Flow,Onboarding draft save / resume,POST,4,Post-launch. FSE module excluded from MVP scope.
FSE-10,8. FSE Module,8.2 In-Person Registration Flow,Submit to T&S review queue,POST,4,Post-launch. FSE module excluded from MVP scope.
FSE-11,8. FSE Module,8.3 Commission & Performance,Commission tracking (FSE earnings),POST,8,Post-launch. FSE module excluded from MVP scope.
FSE-12,8. FSE Module,8.3 Commission & Performance,FSE performance dashboard (admin),POST,8,Post-launch. FSE module excluded from MVP scope.
FSE-13,8. FSE Module,8.4 Manual KYC Backend,Sales onboarding backend APIs,POST,12,Post-launch. FSE module excluded from MVP scope.
FSE-14,8. FSE Module,8.4 Manual KYC Backend,Manual KYC AI pre-checks pipeline,POST,20,Post-launch. FSE module excluded from MVP scope.
FSE-15,8. FSE Module,8.4 Manual KYC Backend,Hybrid KYC Decision Engine (routing),POST,8,Post-launch. FSE module excluded from MVP scope.
FSE-16,8. FSE Module,8.4 Manual KYC Backend,High-security document storage (Azure Blob CMK),POST,8,Post-launch. FSE module excluded from MVP scope.
FSE-17,8. FSE Module,8.4 Manual KYC Backend,Manual KYC T&S review workflow,POST,14,Post-launch. FSE module excluded from MVP scope.
FSE-18,8. FSE Module,8.4 Manual KYC Backend,KYC appeal workflow,POST,6,Post-launch. FSE module excluded from MVP scope.
FSE-19,8. FSE Module,8.4 Manual KYC Backend,KYC decision notifications,POST,4,Post-launch. FSE module excluded from MVP scope.
FSE-20,8. FSE Module,8.4 Manual KYC Backend,Daily Field Sales Report (auto-emailed),POST,4,Post-launch. FSE module excluded from MVP scope.
,,,,,,
,,,,,,
EFFORT SUMMARY  ·  Edit Call column above — Raw Hours & AI-Tooled recalculate automatically,,,,,,
Platform / Component,Total Features,"In-Scope Count
(not POST / DROP)",Raw Hours (MVP),"AI-Tooled hrs
(Raw × 0.6)","Post-Launch
Hours (est.)",
1. Mobile App,234,202,458,275,46,
2.1–2.2 Backend (Auth+Tasks),22,20,107,64,0,
2.3–2.10 Backend (Matching+),60,56,311,187,52,
  ↳ Backend Subtotal,82,76,418,251,52,
3. Admin Portal,74,65,255,153,108,
4. Flutter Web (web-specific),18,18,84,50,0,
5. Next.js SEO Layer,20,18,95,57,32,
6. AI Infrastructure,13,7,42,25,68,
7. DevOps & Infrastructure,13,12,68,41,5,
8. FSE Module  (MVP per §43),20,0,0,0,180,
GRAND TOTAL,474,398,"1,420",852,491,
"★  How to use: Change the ""Call"" column (E) for any row → totals in this summary update automatically.  POST items show estimated hours (italic) but are excluded from Raw Hours / AI-Tooled.  AI-Tooled = Raw × 0.6  (~40 % efficiency gain from GitHub Copilot + Claude Code).  Calls:  IN = Must build  ·  IN★ = AI-dependent  ·  THIN = Simplified version  ·  POST = Post-launch  ·  DROP = Removed from scope  ·  🟡 Amber rows = new items added from Missing & Deferred Items Report (v1.2)",,,,,,
